WORDCOUNTS,WEIGHT
the,397
of,234
in,205
a,147
and,146
to,73
gold,69
is,64
chavin,54
from,51
are,49
it,47
as,47
with,45
on,44
have,43
which,41
figure,38
that,36
were,35
was,32
this,29
no,28
been,28
be,28
fig,26
by,24
at,23
silver,22
may,21
not,21
metal,21
chongoyape,21
copper,21
we,20
but,19
these,19
or,19
two,19
one,19
they,18
peru,18
an,18
specimens,17
for,17
style,17
found,16
has,16
objects,14
i,14
there,14
american,13
p,13
vol,13
head,12
artifacts,12
c,12
stone,11
nose,11
also,11
all,11
both,11
such,11
small,11
mochica,10
his,10
seen,10
into,10
w,10
hollow,10
out,10
form,10
spoons,10
pottery,10
heads,9
museum,9
known,9
natural,9
new,9
present,9
sheet,9
collection,9
specimen,9
like,9
period,9
face,8
seems,8
central,8
had,8
designs,8
made,8
three,8
bone,8
back,8
chimu,8
arms,7
same,7
paint,7
various,7
painted,7
flat,7
other,7
techniques,7
metals,7
soldered,7
design,7
art,7
mouth,7
shown,7
santa,7
after,7
old,7
ear,7
than,7
now,6
red,6
b,6
front,6
h,6
pp,6
then,6
annealing,6
must,6
more,6
guilloche,6
serpent,6
cut,6
many,6
carving,6
case,6
shape,6
possible,6
condor,6
except,6
pairs,6
use,6
size,6
pair,6
california,6
discovered,6
peruvian,6
coast,6
soldering,6
barbara,5
second,5
common,5
pieces,5
unit,5
similar,5
table,5
when,5
cutout,5
contained,5
lima,5
culture,5
illustrated,5
different,5
came,5
handle,5
technique,5
each,5
usually,5
great,5
typical,5
time,5
grave,5
antiquity,5
man,5
late,5
represent,5
mr,5
appears,5
larger,5
contain,5
used,5
examples,5
sculpture,5
four,5
place,5
human,5
actual,5
so,5
bliss,5
probably,5
much,5
knowledge,5
tube,5
walls,5
hammering,4
spools,4
he,4
feline,4
edge,4
tweezers,4
who,4
recuay,4
pendants,4
represents,4
often,4
single,4
york,4
larco,4
under,4
university,4
history,4
metallurgy,4
most,4
wire,4
long,4
later,4
others,4
cultures,4
conventionalized,4
root,4
groups,4
could,4
called,4
bead,4
associated,4
third,4
where,4
danglers,4
