WORDCOUNTS,WEIGHT
the,399
of,330
and,189
in,163
a,129
to,100
is,79
flaking,63
from,62
on,56
this,50
adze,47
or,46
with,43
flakes,43
as,39
by,39
new,37
stone,37
were,35
these,33
large,32
material,32
an,32
for,31
which,31
form,30
be,30
have,29
was,27
that,27
raw,27
at,26
been,26
has,26
polynesian,26
zealand,26
some,24
adzes,24
quarry,23
argillite,23
are,22
it,21
flake,21
not,20
plateau,20
quarries,20
creek,18
fig,18
core,18
about,17
excavation,16
surface,16
floors,16
leach,15
jones,15
small,15
quarrying,14
one,14
outcrop,14
bay,14
north,14
worked,13
prehistoric,13
preforms,13
its,13
preform,12
into,12
falls,12
samson,12
saddle,12
maori,12
triangular,12
figure,11
l,11
floor,11
quadrangular,11
source,11
sources,11
rock,11
i,11
sequence,11
would,11
area,11
had,10
pit,10
there,10
kevin,10
east,10
rocks,10
such,10
may,9
associated,9
section,9
no,9
but,9
practices,9
test,9
journal,9
forms,9
used,9
refitted,9
suitable,9
evidence,9
studies,8
either,8
important,8
all,8
areas,8
found,8
boulders,8
use,8
archaeological,8
materials,8
change,8
relatively,8
typology,8
working,8
sectioned,8
soil,7
south,7
natural,7
planes,7
series,7
two,7
hm,7
inclusions,7
also,7
metasomatised,7
striking,7
out,7
distinctive,7
lenticular,7
tectonic,7
vegetation,7
assemblages,7
x,7
reduction,7
island,7
exploited,7
polynesia,7
layers,7
manufacture,7
nelson,7
between,7
resources,7
will,6
site,6
square,6
hammerstone,6
altitude,6
bf,6
prehistory,6
lithic,6
known,6
stream,6
cortex,6
nature,6
outcrops,6
further,6
see,6
flaked,6
understanding,6
tool,6
range,6
waste,6
debris,6
platform,6
three,6
riverton,6
so,6
archaeology,6
belt,6
desired,6
plate,6
little,6
sedimentary,6
society,6
refitting,5
result,5
side,5
nz,5
above,5
similar,5
formed,5
rounded,5
serpentinite,5
polynesians,5
tasman,5
clearly,5
lower,5
being,5
volume,5
taken,5
tabs,5
could,5
origin,5
zone,5
near,5
products,5
cores,5
practice,5
weathered,5
larger,5
another,5
original,5
secondary,5
suggests,5
struck,5
