WORDCOUNTS,WEIGHT
the,577
of,439
and,299
in,213
to,189
a,186
as,92
archaeological,91
that,78
are,73
maya,65
is,65
for,60
from,59
by,54
an,51
on,51
have,51
with,50
at,44
local,43
community,38
research,36
about,36
chunchucmil,35
archaeology,35
ancient,34
be,34
site,33
their,33
has,32
communities,32
tourism,31
or,30
members,30
this,29
archaeologists,27
knowledge,27
native,27
which,27
was,25
project,25
mexico,23
we,23
who,23
they,22
modern,22
t,21
university,20
been,20
one,19
ruins,19
between,19
kochol,18
but,18
these,18
it,17
yucatan,17
more,17
what,17
groups,16
some,16
cultural,16
where,16
interested,16
i,15
descendant,15
will,15
ethnic,15
not,15
other,14
de,14
american,14
museum,14
pakbeh,14
were,14
can,14
history,13
all,13
may,13
most,13
et,13
economic,13
pp,13
ardren,13
our,13
area,13
mexican,12
there,12
such,12
museums,12
yucatec,12
village,11
traci,11
m,11
p,11
well,11
field,11
many,11
would,11
state,11
press,11
land,11
given,11
tourists,10
within,10
how,10
dialogue,10
department,10
public,10
people,10
no,10
economy,10
c,10
much,10
staff,9
excavations,9
than,9
because,9
work,9
indigenous,9
al,9
especially,9
any,9
must,9
over,9
each,9
very,9
living,9
while,9
when,9
control,8
excavation,8
into,8
women,8
first,8
central,8
landscape,8
b,8
locals,8
residential,8
part,8
its,8
small,8
social,8
power,8
new,8
program,8
historical,8
urban,8
both,8
large,7
experience,7
bonfil,7
g,7
interest,7
y,7
certain,7
academic,7
r,7
regional,7
culture,7
also,7
l,7
significant,7
use,7
architectural,7
period,7
often,7
them,7
role,7
world,7
national,7
d,7
traditional,7
should,7
something,6
tourist,6
j,6
real,6
political,6
que,6
development,6
americans,6
artifacts,6
villages,6
society,6
architecture,6
classic,6
scholars,6
see,6
another,6
platform,6
after,6
paper,6
leaders,6
evidence,6
remains,6
conversations,6
group,5
center,5
western,5
materials,5
walnut,5
production,5
nature,5
those,5
e,5
move,5
historic,5
thus,5
profound,5
even,5
population,5
benefits,5
mira,5
house,5
peninsula,5
greater,5
had,5
uses,5
gualberto,5
priorities,5
sites,5
data,5
during,5
own,5
marcelino,5
los,5
responsibility,5
soil,5
industry,5
annual,5
florida,5
para,5
through,5
toward,5
children,5
men,5
relevant,5
style,5
upon,5
laboratory,5
collaboration,5
like,5
high,5
obsidian,5
la,5
swidler,5
analysis,5
claims,5
school,5
peoples,5
know,5
different,5
capital,5
past,5
little,5
alta,5
mesoamerica,4
accomplishments,4
interests,4
might,4
kilometers,4
meaning,4
government,4
growing,4
key,4
household,4
ejido,4
since,4
archaeologist,4
pueblo,4
his,4
levels,4
lots,4
monuments,4
perceptions,4
monumental,4
warren,4
n,4
bruce,4
suggested,4
could,4
found,4
access,4
photo,4
concept,4
nation,4
issues,4
away,4
presented,4
working,4
trading,4
claim,4
spanish,4
ancestors,4
up,4
majority,4
processual,4
observations,4
female,4
opportunities,4
k,4
traciardren,4
only,4
ceramic,4
s,4
areas,4
time,4
patterns,4
plate,4
shown,4
material,4
demonstrated,4
identity,4
largely,4
dahlin,4
students,4
trade,4
so,4
present,4
relative,4
testing,4
arqueologia,4
primarily,4
life,4
caste,4
practice,4
funding,4
anthropology,4
connection,4
gosden,4
report,4
form,4
agricultural,4
video,4
information,4
cash,4
although,4
needs,4
offered,4
north,4
recent,4
meeting,4
does,3
currently,3
told,3
moving,3
variety,3
annals,3
puuc,3
modest,3
taken,3
military,3
season,3
montejo,3
europe,3
crops,3
great,3
thank,3
take,3
last,3
context,3
less,3
anthropologists,3
agriculture,3
ball,3
mutual,3
exist,3
goal,3
immediate,3
due,3
tzuc,3
pay,3
century,3
journal,3
activism,3
war,3
floor,3
federal,3
process,3
subsistence,3
importance,3
feel,3
productive,3
space,3
support,3
distinct,3
wages,3
organized,3
clearly,3
latin,3
numbers,3
impact,3
sus,3
recovered,3
hutson,3
make,3
appear,3
my,3
centers,3
demands,3
mesoamerican,3
initial,3
yaxuna,3
further,3
traits,3
final,3
produced,3
record,3
near,3
aspects,3
used,3
already,3
structures,3
interpreted,3
graduate,3
suggest,3
villagers,3
involved,3
around,3
mena,3
este,3
spence,3
resistance,3
preliminary,3
visit,3
second,3
various,3
identified,3
still,3
sobre,3
comments,3
religious,3
under,3
place,3
guatemala,3
responsive,3
indian,3
gente,3
put,3
experienced,3
lack,3
anthropologist,3
michael,3
original,3
understanding,3
academics,3
individuals,3
open,3
significance,3
anyone,3
study,3
interpretations,3
do,3
v,3
assistants,3
northern,3
saw,3
indication,3
movements,3
figure,3
crucial,3
five,3
foreign,3
independence,3
batalla,3
respect,3
education,3
guatemalan,3
anthropological,3
changing,3
demonstrate,3
thousand,3
willingness,3
alternative,3
current,3
foundation,3
exhibits,3
unique,3
coast,3
nearby,3
number,3
level,3
multiple,3
city,3
despite,3
kids,3
goals,3
years,3
aware,3
include,3
increased,3
share,3
specific,3
potential,3
experiential,3
debate,3
early,3
interaction,3
building,3
built,3
hypothesis,3
nicholas,2
common,2
way,2
generated,2
cent,2
corporate,2
commitment,2
concern,2
everyone,2
environmental,2
per,2
conducted,2
complex,2
conflicts,2
identify,2
designed,2
maize,2
conducting,2
ma,2
mayas,2
studies,2
considerations,2
occurred,2
interpretative,2
consistent,2
either,2
voices,2
textual,2
certainly,2
setting,2
ii,2
evolution,2
motivations,2
parties,2
continue,2
tours,2
mexicans,2
date,2
wage,2
signs,2
iowa,2
ad,2
system,2
con,2
campesinos,2
earlier,2
primary,2
america,2
watkins,2
prior,2
soils,2
apart,2
say,2
far,2
laws,2
ritual,2
innovative,2
human,2
relationships,2
component,2
relations,2
heightened,2
ferguson,2
held,2
importancia,2
secretariat,2
cosas,2
ha,2
holds,2
continuous,2
third,2
find,2
explore,2
familias,2
communication,2
william,2
messages,2
influence,2
van,2
poor,2
simultaneously,2
reconstructed,2
manipulated,2
identification,2
programmatic,2
bring,2
mistrust,2
illustration,2
basic,2
square,2
talk,2
chichen,2
awareness,2
practicing,2
shell,2
references,2
understand,2
